"hawksheaven51","This is a amazing app that is very useful and if you work a lot in one day you might know the language in one day. I recommend this app if you want to learn a language real fast.","+","5","Five Stars!",3534417999,"https://itunes.apple.com/us/reviews/id874948364",0
"Mrs. Emmy Lou","I absolutely love this app. It’s helped refresh what I already know and strengthened my abilities. It’s awesome! Pretty sure I’m addicted.","+","5","Amazing!!!",3534375895,"https://itunes.apple.com/us/reviews/id196319943",0
"mangalo_mermaid","duolingo isn’t great with Asian languages. it shows you characters and words  but doesn’t show you the alphabet or how grammar works. also WHY IS AFRIKAANS STILL NOT ON HERE!?!?!?? it has FICTIONAL languages  so where’s the one that’s the reason I got duo!?","-","3","has its limits",3534262649,"https://itunes.apple.com/us/reviews/id560752840",0
"viva de fe","Have to wait 4hrs to play again 😡🤷‍♀️ it’s free 🙂","-","3","Waiting to learn",3534195152,"https://itunes.apple.com/us/reviews/id597319747",0
"parler français","I wish that there weren’t life point things that get in the way of literally everything.","-","3","A problem",3534130057,"https://itunes.apple.com/us/reviews/id749350651",0
"El chino#1","El Duolingo es una forma muy excelente para aprender  un idioma diferente  muchas gracias por este sistema .","+","5","Duolingo",3533989279,"https://itunes.apple.com/us/reviews/id949804938",0
"אויף א","I want to learn Yiddish but you don’t have it please put it on here","+","5","Please",3533946339,"https://itunes.apple.com/us/reviews/id818453555",0
"andrew ratliff","Almost every time you have to speak the translation it does not recognize the speech. It gives you three times and you can say the correct thing and it still says incorrect. This really hurts your streak and your energy. would be five stars if this problem was fixed","+","4","Could easily be 5 Stars",3533935356,"https://itunes.apple.com/us/reviews/id916082348",0
"maw0260@hotmail","Your app was down for a couple of days last week and I lost my 180 day streak. I’d like to get that back if possible.","+","4","App issues",3533922223,"https://itunes.apple.com/us/reviews/id653930857",0
"The Weinz","It’s set up like a game so it triggers the reward centers in your brain. It keeps you interested. Very quick lessons and easy to do in a couple of minutes. Does a fantastic job of reinforcing words  syntax  masculine versus feminine use  and appears to taylor itself to your shortcomings and strengths.  You start out learning like a kid and then it teaches you the correct usage when you’re dying to know anyway. This is beautiful and well thought out.  If you’re an adult I recommend it. You will never learn a language as naturally  quickly or as easily. If you give this to kids  parents will be shocked when their kids start talking to them in a different language in a matter of weeks.   I rarely bother to make reviews but I am simply blown away by this app.","+","5","Beyond Fantastic- You learn Naturally",3533892106,"https://itunes.apple.com/us/reviews/id853344384",0
"BunnyStudios","I love this app so much it is helpful. The only thing I had a bit of trouble with is when I use the microphone for some reason it would say it was incorrect when I said the exact same thing but that’s okay! This app is really nice 🙂👌🏾","+","5","I love it so much",3533780633,"https://itunes.apple.com/us/reviews/id237533489",0
"aj lover and dog lover","So I go into Duolingo one day and since I’m learning Chinese I start to practice the hardest thing for me  names. So I got one wrong by one small word and I loose a heart then that happened again so I quit thinking “ Oh my goodness I’m gonna be out of hearts and I won’t learn the Chinese.” So maybe if instead of hearts maybe it can just say “ Good try but the answer is             .” I could be fluent in Chinese by now. This is not hao.      P.S. hao means good in Chinese","-","3","Not really helping me",3533751619,"https://itunes.apple.com/us/reviews/id568520238",0
"Parker Hutchinson","The “enter” key is so close to the other keys that I often inadvertently submit incomplete answers while typing  which counts against my health and cuts my lessons short.","-","3","Poor Keyboard Interface",3533606223,"https://itunes.apple.com/us/reviews/id31441034",0
"1914Kyle","Don’t get me wrong  I love Duolingo. But the reason I give it 4 stars is because they should have other languages before they do fictional ones. For example  there should be an Arabic course  and a Thai course  etc. There isn’t that many resources for learning them and Duolingo having those languages plus more would make the app 5 stars","+","4","Good  but...",3533589854,"https://itunes.apple.com/us/reviews/id339410558",0
