"Endancy","Loads of fun!","-","3","Fun",3534402396,"https://itunes.apple.com/us/reviews/id199632364",0
"Zz3253","..","+","4","Pay2win",3534383912,"https://itunes.apple.com/us/reviews/id210357889",0
"Irishred16","Please give an option to request suggestions  or turn them off.  At least delay giving them until 10-15 seconds minimum after no move is made yet.  Very annoying to immediately have them flashing at you.","-","2","Unwanted Suggested Moves",3534367113,"https://itunes.apple.com/us/reviews/id296107353",0
"mrs.pugsalot","IT'ᔕ ᒪIT","+","5","ᒪIT",3534366848,"https://itunes.apple.com/us/reviews/id27787323",0
"fiddlefoot1951","Fun  fast  addictive. One negative only and that is when you show or toss in little remarks they disappear before you can read them. That doesn’t stop me from playing for way to many hours. 😀","+","5","Candy Crush Saga",3534326339,"https://itunes.apple.com/us/reviews/id539859028",0
"Billswill","Love the newest game as well as the others.   Very challenging and fun.  Keep getting crushed haven’t gotten to the end of any yet","+","5","The Crushers",3534205727,"https://itunes.apple.com/us/reviews/id324232960",0
"elleellebean","I’ve found to use this when my  mind wanders as I’m trying to fall asleep. Keeps me occupied and helps me wind down.","+","5","Relaxing",3534146726,"https://itunes.apple.com/us/reviews/id592973898",0
"bcmotaylor","This is very fun game to play when your bored.","+","5","Great game",3534080952,"https://itunes.apple.com/us/reviews/id34120771",0
"bejadler","I HATE the new version!  Cost of bars has doubled and I cannot afford to keep buying them!  I have spent way too much money already and will NOT recommend this game to others again!  Restarted game and different version loaded. Wharton’s is up with that? Play on two iPads and both have different versions!","-","2","Comments",3533859328,"https://itunes.apple.com/us/reviews/id512508371",0
"1995Shann","Addictive and fun to play","+","5","Addictive game",3533835661,"https://itunes.apple.com/us/reviews/id338373375",0
"Rvkidmat","Desee","+","5","We",3533779923,"https://itunes.apple.com/us/reviews/id165898762",0
"CCIAWOM","Thanks to the team for making a barely justifiable expense completely unacceptable. The increased costs for the assortment of in-App purchases has provided the perfect motivation to delete the game once and for all.","-","1","Now very overpriced",3533763830,"https://itunes.apple.com/us/reviews/id15851847",0
"Samos1688","I’ve been playing Candy Crush for years and this is my third time but the latest version only gives 32+moves while the older version gives 45 moves. It is impossible to get 100 greens in 32 moves because 100 greens do not appear on such a small board. This level in 32 moves does not appear on the tips or cheat apps so I’m stuck.","+","4","Stuck on level 456",3533739995,"https://itunes.apple.com/us/reviews/id218121087",0
"motomom 422","Fun game to pass the time","+","4","Addictive",3533649806,"https://itunes.apple.com/us/reviews/id888501894",0
"to draw","I’ve been playing this game for way too many years. I can’t believe that if you can’t win a game you take a life away! AND you’ve cut back the piggy bank by HALF! Disable people and retired people don’t have the money to buy all your little gold bars and with making some of the levels impossible to win you only get 3 chances to try because you take the lives away....SHAME on you  maybe the other people that are new and haven’t been playing for 6+ years will make you even more millions","-","3","Unreal.......so sad",3533486289,"https://itunes.apple.com/us/reviews/id250191335",0
"kiabri","Great relaxing game","+","5","Candy crusher",3533451288,"https://itunes.apple.com/us/reviews/id937663808",0
"mschu1horselover","Awesome! This game is addictive. Its very relaxing","+","5","Great!!",3533432326,"https://itunes.apple.com/us/reviews/id490763080",0
"Dust yo","Addictive","+","5","Great",3533358181,"https://itunes.apple.com/us/reviews/id453854355",0
"My3Kids!73069","This is a very fun and addictive game!","+","5","Candy crush saga",3533073115,"https://itunes.apple.com/us/reviews/id488217354",0
"Candy Crush Fanny","🎯🙌🏽","+","4","Fun and challenging",3532870177,"https://itunes.apple.com/us/reviews/id495701157",0
"CarlieC","Love love love this game","+","5","BEST GAME EVER",3532726634,"https://itunes.apple.com/us/reviews/id391596626",0
"❤❤Driaa","Annoying when you don’t enough moves.","-","1","..",3532693668,"https://itunes.apple.com/us/reviews/id295981443",0
"Almaatinka","Honestly  you think you will make it hard and give less moves  adjust the level to be harder from what its really like in other videos   and i will pay to pass this level? I get what you Are doing. You will not get a dime from me!!! Id rather delete this game! This level is impossible!!!! IMPOSSIBLE!! No way to pass without boosters","-","1","Level 3953",3532662115,"https://itunes.apple.com/us/reviews/id282019712",0
"SpanishFly11111111","Super addicting too much fun!","+","4","Super addicting",3532602789,"https://itunes.apple.com/us/reviews/id429162495",0
"Rycbnb","Coo","-","3","Coo",3532491495,"https://itunes.apple.com/us/reviews/id355966087",0
"donnaerndt65","Best game ever","+","5","Candy crush",3532436072,"https://itunes.apple.com/us/reviews/id657195829",0
"tennesseeKidd","Super fun.","+","5","Fun",3532410226,"https://itunes.apple.com/us/reviews/id298132202",0
"Larrinette","Relaxes me","+","5","Fun",3532351589,"https://itunes.apple.com/us/reviews/id141642225",0
"Sazzienuca","Awesome game!  I love it!","+","5","Candy Crush",3532335392,"https://itunes.apple.com/us/reviews/id207536535",0
"mk1377","Lots of fun","+","5","Fun",3532317329,"https://itunes.apple.com/us/reviews/id670843033",0
"Diggs/Love","Never win the jackpot🤦🏾‍♀️👎🏾","-","1","Jackpot",3532303428,"https://itunes.apple.com/us/reviews/id506098179",0
"Raleyboo🤪","So I’m on level 65 and it’s so freaking fun and it helps keep me calm like I literally play 24/7.....I use to hate this game but now it is the best game on my phone  so like yeah just download the game and play💯🤪","+","5","Omggg I love this game 🥰",3532261909,"https://itunes.apple.com/us/reviews/id949572953",0
"Herculesmaggie123","I'm addicted it's so fun","+","5","Love this game!",3532095510,"https://itunes.apple.com/us/reviews/id527161008",0
"Nikki Jerrett","So I was on level 1930. I googled it because it gives you 13 moves to knock out like 60 plus squares. I noticed that YouTube video I came across  the players had 20 plus moves. So candy crush wants to lower the moves so you’re FORCED into buying crap from them just so you can make it to the next level. You’re pathetic!","-","1","Money hungry company... Pathetic!",3532059418,"https://itunes.apple.com/us/reviews/id163689619",0
"romalain","It is sooooooooooo fun to play the game keep up the good work","+","4","Luv the game sooooooo much",3532027370,"https://itunes.apple.com/us/reviews/id913092009",0
"(^_^)TAFUR","Entretenido","+","5","Súper",3531992154,"https://itunes.apple.com/us/reviews/id527907782",0
"balserrrrr","👍👍👍👍😜😜😜","+","5","Awesome",3531932724,"https://itunes.apple.com/us/reviews/id783659369",0
"ejeppeje dn","Good","+","5","Very good",3531878731,"https://itunes.apple.com/us/reviews/id632966289",0
"Mollyreeves","Addictive!!! STRESS RELIEVER ❤️👌","+","5","Ann Reeves",3531870665,"https://itunes.apple.com/us/reviews/id198636142",0
"jessowendan","I really like this game.","+","5","Rate",3531803827,"https://itunes.apple.com/us/reviews/id367828250",0
"Heat trio 6 3. 1","Lit","+","5","Lit",3531730710,"https://itunes.apple.com/us/reviews/id105959395",0
"They infringed","I play all the time","+","5","Awesome game",3531721591,"https://itunes.apple.com/us/reviews/id430908337",0
"draas1350","Just addictive enough to come back every day for a hr or so","+","5","Measured addiction",3531680869,"https://itunes.apple.com/us/reviews/id131662568",0
"George39993","Awesome game. Keeps you playing for a long time.","+","5","Candy Crush",3531677774,"https://itunes.apple.com/us/reviews/id893568332",0
"kikilia67","Was surprised at how much fun this game is and I love the pastel colors  so pleasant to the eye!","+","5","Enjoying This Game!",3531647167,"https://itunes.apple.com/us/reviews/id672186475",0
"Emhaupt7","I love it! Can’t get enough!","+","5","Em",3531637484,"https://itunes.apple.com/us/reviews/id249825441",0
"AshMeg15","So much fun  can’t stop playing!!","+","5","Addictive!!",3531627668,"https://itunes.apple.com/us/reviews/id349605422",0
"The mom of the neighborhood","Great","+","5","Great",3531618532,"https://itunes.apple.com/us/reviews/id919009308",0
"MayorJerry","Why can’t you make the games equal when you make updates? Is it fair some have 18 moves and others 22 on ‘super hard’ levels!?","-","2","2270 some people have more starting moves than others",3531617527,"https://itunes.apple.com/us/reviews/id173767810",0
"😛😛😚😚😚😝lady lover","Fun","+","5","Best game",3531611956,"https://itunes.apple.com/us/reviews/id427730979",0
"Daniellejohnson123","I love it!!!","+","5","Candy crush",3536172544,"https://itunes.apple.com/us/reviews/id487085797",0
"ggaammeezzz","Yay fun time passer when bored excellent game love it","+","5","Wow",3536099576,"https://itunes.apple.com/us/reviews/id678587743",0
"Tag0422","A SWEET addiction of FUN!","+","5","Candy crush",3536084138,"https://itunes.apple.com/us/reviews/id286377121",0
"Dannobanana","You should be ashamed for the price increases when you are making a killing. I for one and many others will not play your pricing games let alone Candy Crush or your other platforms ever again. Pass the word. The greed here is beyond disgust.","-","1","Price doubles for many purchases",3536064223,"https://itunes.apple.com/us/reviews/id206147234",0
"sweetiedith","Awesome","+","4","👍",3536025710,"https://itunes.apple.com/us/reviews/id441485803",0
"sarah22231","keeps me busy and entertained! Love Love this game !","+","5","Awesome",3535946578,"https://itunes.apple.com/us/reviews/id679123565",0
"Txdebanderson","Any time you need a little distraction  this game is always fun.","+","5","Always fun",3535945043,"https://itunes.apple.com/us/reviews/id218720720",0
"Almaa_s","Fun and addicting to play.","+","5","Super addicting",3535943945,"https://itunes.apple.com/us/reviews/id596536193",0
"peacenmind","Hello hello.","-","1","Hello",3535884772,"https://itunes.apple.com/us/reviews/id902786506",0
"M08088","Very addicting","+","5","Candy Crush",3535881722,"https://itunes.apple.com/us/reviews/id950016886",0
