"Eva Kush","Oh no  now I’m addicted... help. Too fun to stop ....","+","5","Love it",3536563110,"https://itunes.apple.com/us/reviews/id950100225",1.140.0,0
"freshy wessy","This is the best game.  It keeps you playing.  Great game!!!!!!","+","5","Candy crush",3536365195,"https://itunes.apple.com/us/reviews/id525649268",1.140.0,0
"E-money089","Titty","+","5","Litty",3536225104,"https://itunes.apple.com/us/reviews/id294906105",1.140.0,0
"Daniellejohnson123","I love it!!!","+","5","Candy crush",3536172544,"https://itunes.apple.com/us/reviews/id487085797",1.140.0,0
"Gabbie🍭","Suuuuuuper addicting.","+","5","Addictive",3536154803,"https://itunes.apple.com/us/reviews/id610736447",1.140.0,0
"ggaammeezzz","Yay fun time passer when bored excellent game love it","+","5","Wow",3536099576,"https://itunes.apple.com/us/reviews/id678587743",1.140.0,0
"Tag0422","A SWEET addiction of FUN!","+","5","Candy crush",3536084138,"https://itunes.apple.com/us/reviews/id286377121",1.140.0,0
"Dannobanana","You should be ashamed for the price increases when you are making a killing. I for one and many others will not play your pricing games let alone Candy Crush or your other platforms ever again. Pass the word. The greed here is beyond disgust.","-","1","Price doubles for many purchases",3536064223,"https://itunes.apple.com/us/reviews/id206147234",1.140.0,0
"sweetiedith","Awesome","+","4","👍",3536025710,"https://itunes.apple.com/us/reviews/id441485803",1.140.0,0
"sarah22231","keeps me busy and entertained! Love Love this game !","+","5","Awesome",3535946578,"https://itunes.apple.com/us/reviews/id679123565",1.140.0,0
"Txdebanderson","Any time you need a little distraction  this game is always fun.","+","5","Always fun",3535945043,"https://itunes.apple.com/us/reviews/id218720720",1.140.0,0
"Almaa_s","Fun and addicting to play.","+","5","Super addicting",3535943945,"https://itunes.apple.com/us/reviews/id596536193",1.140.0,0
"peacenmind","Hello hello.","-","1","Hello",3535884772,"https://itunes.apple.com/us/reviews/id902786506",1.140.0,0
"M08088","Very addicting","+","5","Candy Crush",3535881722,"https://itunes.apple.com/us/reviews/id950016886",1.140.0,0
"Dpioro","Had to start a new account but it’s just as exciting!","+","5","Super addictive",3535848580,"https://itunes.apple.com/us/reviews/id214067723",1.140.0,0
"hnotbf","I’m obsessed","+","5","I’m obsessed",3535770796,"https://itunes.apple.com/us/reviews/id495691107",1.140.0,0
"minnuvtcolmysrd","This game cheats like a motha","-","1","Candy Crush",3535762142,"https://itunes.apple.com/us/reviews/id352484624",1.140.0,0
"Silosr","I'm glad that candy crush is now better than ever. You won't want to put it down ‼️ Though it does ask for lots of money to continue on to the next level.","+","5","Game has gotten better",3535736432,"https://itunes.apple.com/us/reviews/id323244593",1.140.0,0
"chii432","Addictive","-","3","Re",3535709432,"https://itunes.apple.com/us/reviews/id772519028",1.140.0,0
"heythisismynickname562","#1 game I use to pass the time. Provided challenges and offers great rewards for continued play. 100% recommend!","+","5","Amazing past time!",3535674657,"https://itunes.apple.com/us/reviews/id548092926",1.140.0,0
"jazzand charles","Super","+","5","Candy crush",3535664947,"https://itunes.apple.com/us/reviews/id947256496",1.140.0,0
"Red-_-_-_","Doing this for in game reward","+","5","D",3535572843,"https://itunes.apple.com/us/reviews/id636414776",1.140.0,0
"12311999","I have enjoyed this game.","+","5","Awesome",3535568496,"https://itunes.apple.com/us/reviews/id185851048",1.140.0,0
"Reed🍊","Update: I’m now on level 171. It requires me to get 10 striped candies in 12 moves. That’s ridiculous. I’ve been on this level for days and I’ve wasted boosters. I don’t see any way I’m ever going to pass this level unless I get incredibly lucky with the board. Please add more moves. The levels should be challenging  but they shouldn’t be near impossible.  -  It’s a fun game and a good way to pass time on the subway or waiting for an appointment. Overall I like it  I just have two suggestions: 1. Add an option to turn off hints. Most of the time they’re not actually helpful  but just a distraction. For example  every time there’s a color bomb on the board the game wants me to use it. Often times I’m saving the bomb for a later move but the game won’t stop telling me to use it now. 2. Add a confirmation for buying things with gold bars. Earlier today I failed a level and I accidentally pressed the button to pay for more moves. I wasted 10 bars. Just a simple “This will cost 10 bars. Continue?” with a yes button and a cancel button would be helpful.","-","2","Changed to 2 stars",3535516438,"https://itunes.apple.com/us/reviews/id947747941",1.140.0,0
